"type","id","plan_id","label","x","y","width","height","area_m2","path_or_viewbox"
"zone","red","","Bloque Rojo","167","173","","","","M45 135H290V460H45Z"
"zone","yellow","","Bloque Amarillo","603","173","","","","M455 135H750V460H455Z"
"zone","green","","Bloque Verde","1048","173","","","","M920 150L1175 178V460H920Z"
"plan","red-lower","red-lower","Internacional I","625","460","","","","0 90 800 630"
"plan","red-upper","red-upper","Internacional II","640","545","","","","10 120 805 635"
"plan","yellow-lower","yellow-lower","Pabellon La Paz","188","490","","","","10 110 1090 620"
"plan","yellow-upper","yellow-upper","Pabellon Bolivia","228","521","","","","20 110 1090 625"
"plan","green-upper","green-upper","Pabellon Americano","199","511","","","","0 110 1125 640"
"plan","entrance","entrance","Plaza Akapana","321","638","","","","0 100 565 655"
"plan","food-court","food-court","Patio de comidas","311","704","","","","0 130 640 620"
"stand","red-lower-9","red-lower","9","21","138","65","34","",""
"stand","red-lower-8","red-lower","8","86","138","65","34","",""
"stand","red-lower-7","red-lower","7","151","138","65","34","",""
"stand","red-lower-6","red-lower","6","216","138","49","34","",""
"stand","red-lower-5","red-lower","5","265","138","65","34","",""
"stand","red-lower-4","red-lower","4","364","138","65","34","",""
"stand","red-lower-3","red-lower","3","429","138","49","34","",""
"stand","red-lower-2","red-lower","2","478","138","65","34","",""
"stand","red-lower-1","red-lower","1","543","138","65","34","",""
"stand","red-lower-10","red-lower","10","21","204","33","49","13.5",""
"stand","red-lower-11","red-lower","11","21","253","33","49","13.5",""
"stand","red-lower-49","red-lower","49","87","204","98","65","54",""
"stand","red-lower-48","red-lower","48","185","204","65","32.5","18",""
"stand","red-lower-47","red-lower","47","185","236.5","65","32.5","18",""
"stand","red-lower-46","red-lower","46","250","204","65","65","36",""
"stand","red-lower-45","red-lower","45","315","204","65","32.5","18",""
"stand","red-lower-43","red-lower","43","380","204","65","32.5","18",""
"stand","red-lower-41","red-lower","41","445","204","65","32.5","18",""
"stand","red-lower-44","red-lower","44","315","236.5","65","32.5","18",""
"stand","red-lower-42","red-lower","42","380","236.5","65","32.5","18",""
"stand","red-lower-40","red-lower","40","445","236.5","65","32.5","18",""
"stand","red-lower-39","red-lower","39","510","204","93","65","51",""
"stand","red-lower-38","red-lower","38","510","269","93","81","63.75",""
"stand","red-lower-37","red-lower","37","510","350","93","81","63.75",""
"stand","red-lower-12","red-lower","12","21","302","98","97","",""
"stand","red-lower-13","red-lower","13","119","302","87","97","",""
"stand","red-lower-14","red-lower","14","206","302","98","97","",""
"stand","red-lower-15","red-lower","15","304","302","87","97","",""
"stand","red-lower-16","red-lower","16","391","302","85","97","",""
"stand","red-lower-17","red-lower","17","21","400","33","65","",""
"stand","red-lower-18","red-lower","18","21","465","33","33","",""
"stand","red-lower-27","red-lower","27","87","432","65","65","36",""
"stand","red-lower-28","red-lower","28","152","432","65","32.5","",""
"stand","red-lower-30","red-lower","30","217","432","33","32.5","",""
"stand","red-lower-32","red-lower","32","250","432","65","32.5","",""
"stand","red-lower-29","red-lower","29","152","464.5","65","32.5","",""
"stand","red-lower-31","red-lower","31","217","464.5","33","32.5","",""
"stand","red-lower-33","red-lower","33","250","464.5","65","32.5","",""
"stand","red-lower-34","red-lower","34","315","432","119","65","",""
"stand","red-lower-35","red-lower","35","434","432","76","65","",""
"stand","red-lower-36","red-lower","36","510","432","93","65","",""
"stand","red-lower-19","red-lower","19","21","531","65","65","",""
"stand","red-lower-20","red-lower","20","86","531","65","65","",""
"stand","red-lower-21","red-lower","21","151","531","65","65","",""
"stand","red-lower-22","red-lower","22","216","531","65","65","",""
"stand","red-lower-23","red-lower","23","281","531","65","65","",""
"stand","red-lower-24","red-lower","24","346","531","65","65","",""
"stand","red-lower-25","red-lower","25","411","531","65","65","",""
"stand","red-lower-26","red-lower","26","476","531","127","65","",""
"stand","red-lower-R1","red-lower","R1","657","240","110","64","63",""
"stand","red-lower-R2","red-lower","R2","648","499","115","65","63",""
"stand","red-upper-68","red-upper","68","28","169","66","35","",""
"stand","red-upper-69","red-upper","69","94","169","66","35","",""
"stand","red-upper-70","red-upper","70","160","169","50","35","",""
"stand","red-upper-71","red-upper","71","210","169","66","35","",""
"stand","red-upper-72","red-upper","72","276","169","66","35","",""
"stand","red-upper-73","red-upper","73","376","169","66","35","",""
"stand","red-upper-74","red-upper","74","442","169","50","35","",""
"stand","red-upper-75","red-upper","75","492","169","66","35","",""
"stand","red-upper-76","red-upper","76","558","169","66","35","",""
"stand","red-upper-67","red-upper","67","28","236","34","49","13.5",""
"stand","red-upper-66","red-upper","66","28","285","34","49","13.5",""
"stand","red-upper-77","red-upper","77","94","236","67","67","36",""
"stand","red-upper-78","red-upper","78","161","236","33","33.5","9",""
"stand","red-upper-79","red-upper","79","161","269.5","33","33.5","9",""
"stand","red-upper-81","red-upper","81","194","236","66.4","33.5","18",""
"stand","red-upper-83","red-upper","83","260.4","236","66.4","33.5","18",""
"stand","red-upper-85","red-upper","85","326.79999999999995","236","66.4","33.5","18",""
"stand","red-upper-87","red-upper","87","393.19999999999993","236","66.4","33.5","18",""
"stand","red-upper-89","red-upper","89","459.5999999999999","236","66.4","33.5","18",""
"stand","red-upper-80","red-upper","80","194","269.5","66.4","33.5","18",""
"stand","red-upper-82","red-upper","82","260.4","269.5","66.4","33.5","18",""
"stand","red-upper-84","red-upper","84","326.79999999999995","269.5","66.4","33.5","18",""
"stand","red-upper-86","red-upper","86","393.19999999999993","269.5","66.4","33.5","18",""
"stand","red-upper-88","red-upper","88","459.5999999999999","269.5","66.4","33.5","18",""
"stand","red-upper-90","red-upper","90","526","236","94","67","",""
"stand","red-upper-91","red-upper","91","526","303","94","66","",""
"stand","red-upper-92","red-upper","92","526","369","94","94","",""
"stand","red-upper-93","red-upper","93","526","463","94","67","",""
"stand","red-upper-61","red-upper","61","28","335","100","94","",""
"stand","red-upper-62","red-upper","62","128","335","89","94","",""
"stand","red-upper-63","red-upper","63","217","335","88","94","",""
"stand","red-upper-64","red-upper","64","305","335","88","94","",""
"stand","red-upper-65","red-upper","65","393","335","100","94","",""
"stand","red-upper-60","red-upper","60","28","439","34","49","13.5",""
"stand","red-upper-59","red-upper","59","28","488","34","49","13.5",""
"stand","red-upper-106","red-upper","106","94","462","67","68","36",""
"stand","red-upper-104","red-upper","104","161","462","33","34","9",""
"stand","red-upper-105","red-upper","105","161","496","33","34","9",""
"stand","red-upper-102","red-upper","102","194","462","66.4","34","18",""
"stand","red-upper-100","red-upper","100","260.4","462","66.4","34","18",""
"stand","red-upper-98","red-upper","98","326.79999999999995","462","66.4","34","18",""
"stand","red-upper-96","red-upper","96","393.19999999999993","462","66.4","34","18",""
"stand","red-upper-94","red-upper","94","459.5999999999999","462","66.4","34","18",""
"stand","red-upper-103","red-upper","103","194","496","66.4","34","18",""
"stand","red-upper-101","red-upper","101","260.4","496","66.4","34","18",""
"stand","red-upper-99","red-upper","99","326.79999999999995","496","66.4","34","18",""
"stand","red-upper-97","red-upper","97","393.19999999999993","496","66.4","34","18",""
"stand","red-upper-95","red-upper","95","459.5999999999999","496","66.4","34","18",""
"stand","red-upper-58","red-upper","58","28","562","66","34","",""
"stand","red-upper-57","red-upper","57","94","562","83","34","",""
"stand","red-upper-56","red-upper","56","177","562","66","34","",""
"stand","red-upper-55","red-upper","55","243","562","66","34","",""
"stand","red-upper-54","red-upper","54","309","562","66","34","",""
"stand","red-upper-53","red-upper","53","375","562","66","34","",""
"stand","red-upper-52","red-upper","52","441","562","66","34","",""
"stand","red-upper-51","red-upper","51","507","562","66","34","",""
"stand","red-upper-50","red-upper","50","573","562","66","34","",""
"stand","red-upper-107","red-upper","107","660","272","68","73","",""
"stand","red-upper-108","red-upper","108","660","345","68","55","",""
"stand","red-upper-109","red-upper","109","660","400","68","110","",""
"stand","red-upper-110","red-upper","110","729","512","63","88","46.4",""
"stand","yellow-lower-86","yellow-lower","86","210","164","35","42","9",""
"stand","yellow-lower-85","yellow-lower","85","245","164","35","42","9",""
"stand","yellow-lower-84","yellow-lower","84","280","164","35","42","9",""
"stand","yellow-lower-83","yellow-lower","83","315","164","35","42","9",""
"stand","yellow-lower-69","yellow-lower","69","350","164","69","81","42",""
"stand","yellow-lower-68","yellow-lower","68","419","164","69","42","",""
"stand","yellow-lower-67","yellow-lower","67","488","164","53","42","",""
"stand","yellow-lower-53","yellow-lower","53","592","164","69","81","46.5",""
"stand","yellow-lower-52","yellow-lower","52","661","164","35","42","9",""
"stand","yellow-lower-51","yellow-lower","51","696","164","35","42","9",""
"stand","yellow-lower-50","yellow-lower","50","731","164","35","42","9",""
"stand","yellow-lower-49","yellow-lower","49","766","164","69","70","27",""
"stand","yellow-lower-48","yellow-lower","48","835","164","69","35","27",""
"stand","yellow-lower-1","yellow-lower","1","210","234","104","88","",""
"stand","yellow-lower-2","yellow-lower","2","210","322","104","58","",""
"stand","yellow-lower-3","yellow-lower","3","210","380","104","57","",""
"stand","yellow-lower-4","yellow-lower","4","210","437","104","69","",""
"stand","yellow-lower-5","yellow-lower","5","174","506","104","71","54",""
"stand","yellow-lower-6","yellow-lower","6","278","506","36","71","18",""
"stand","yellow-lower-82","yellow-lower","82","350","245","35","35","9",""
"stand","yellow-lower-81","yellow-lower","81","350","280","35","35","9",""
"stand","yellow-lower-80","yellow-lower","80","350","315","35","35","9",""
"stand","yellow-lower-79","yellow-lower","79","350","350","35","35","9",""
"stand","yellow-lower-78","yellow-lower","78","350","385","35","35","9",""
"stand","yellow-lower-77","yellow-lower","77","350","420","35","35","9",""
"stand","yellow-lower-70","yellow-lower","70","385","245","34","35","9",""
"stand","yellow-lower-71","yellow-lower","71","385","280","34","35","9",""
"stand","yellow-lower-72","yellow-lower","72","385","315","34","35","9",""
"stand","yellow-lower-73","yellow-lower","73","385","350","34","35","9",""
"stand","yellow-lower-74","yellow-lower","74","385","385","34","35","9",""
"stand","yellow-lower-75","yellow-lower","75","385","420","34","35","9",""
"stand","yellow-lower-76","yellow-lower","76","350","455","69","51","27",""
"stand","yellow-lower-14","yellow-lower","14","454","234","104","88","67.5",""
"stand","yellow-lower-13","yellow-lower","13","454","322","52","68","27",""
"stand","yellow-lower-15","yellow-lower","15","506","322","52","68","27",""
"stand","yellow-lower-12","yellow-lower","12","454","390","104","82","63",""
"stand","yellow-lower-11","yellow-lower","11","454","472","52","105","40.5",""
"stand","yellow-lower-16","yellow-lower","16","506","472","52","105","40.5",""
"stand","yellow-lower-66","yellow-lower","66","592","245","35","35","9",""
"stand","yellow-lower-65","yellow-lower","65","592","280","35","35","9",""
"stand","yellow-lower-64","yellow-lower","64","592","315","35","35","9",""
"stand","yellow-lower-63","yellow-lower","63","592","350","35","35","9",""
"stand","yellow-lower-62","yellow-lower","62","592","385","35","35","9",""
